JournalFullName,ISSN,2025IF,2025AI
Access to Justice in Eastern Europe,2663-0575,0.5,0.081
ACCESS-Access to science business innovation in the digital economy,N/A,1.3,0.083
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,7.4,1.426
Accion Psicologica,1578-908X,0.7,0.113
Acciones e Investigaciones Sociales,1132-192X,0.3,0.056
Accountability in Research-Ethics Integrity and Policy,0898-9621,4.4,1.153
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2.5,0.769
Accounting and Finance,0810-5391,2.6,0.594
Accounting Auditing & Accountability Journal,1368-0668,2.7,1.029
Accounting Economics and Law-A Convivium,2194-6051,0.9,0.301
Accounting Education,0963-9284,2.5,0.519
Accounting Forum,0155-9982,4.1,0.76
Accounting Historians Journal,0148-4184,1.4,0.154
Accounting History,1032-3732,1.2,0.354
Accounting History Review,2155-2851,0.8,0.284
Accounting Horizons,0888-7993,2.5,1.06
Accounting in Europe,1744-9480,7.6,1.162
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,4.5,2.391
Accounting Perspectives,1911-382X,1.1,0.441
Accounting Research Journal,1030-9616,3.3,0.358
ACCOUNTING REVIEW,0001-4826,4,3.389
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,18,4.605
Accounts of Materials Research,N/A,14.1,3.154
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1.1,0.164
ACE-Architecture City and Environment,1886-4805,0.9,0.108
ACERVO,0102-700X,0.1,0
ACG Case Reports Journal,N/A,0.6,0.176
ACI MATERIALS JOURNAL,0889-325X,1.5,0.279
ACI STRUCTURAL JOURNAL,0889-3241,1.1,0.27
ACM Communications in Computer Algebra,1932-2232,0.3,0.182
ACM COMPUTING SURVEYS,0360-0300,30.4,6.668
ACM Journal of Data and Information Quality,1936-1955,5,0.816
ACM Journal on Computing and Cultural Heritage,1556-4673,3.1,0.702
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,2.3,0.469
ACM SIGCOMM Computer Communication Review,0146-4833,3.5,0.461
ACM SIGecom Exchanges,1551-9031,0.9,0.724
ACM Transactions on Accessible Computing,1936-7228,3.6,0.478
ACM Transactions on Algorithms,1549-6325,1.4,0.847
ACM Transactions on Applied Perception,1544-3558,2.5,0.509
ACM Transactions on Architecture and Code Optimization,1544-3566,2.9,0.491
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2.7,0.361
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,5.2,0.541
ACM Transactions on Computation Theory,1942-3454,0.8,0.41
ACM Transactions on Computational Logic,1529-3785,1.1,0.519
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1.9,0.587
ACM Transactions on Computer-Human Interaction,1073-0516,9.6,1.195
ACM Transactions on Computing Education,1946-6226,4,0.505
ACM Transactions on Computing for Healthcare,2691-1957,4,1.434
ACM Transactions on Cyber-Physical Systems,2378-962X,3.3,0.558
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1.6,1.126
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,2.8,0.485
ACM Transactions on Economics and Computation,2167-8375,1.3,0.953
ACM Transactions on Embedded Computing Systems,1539-9087,3.6,0.641
ACM TRANSACTIONS ON GRAPHICS,0730-0301,13,2.744
ACM Transactions on Human-Robot Interaction,N/A,7,1.162
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,11.2,1.778
ACM Transactions on Intelligent Systems and Technology,2157-6904,10.7,1.935
ACM Transactions on Interactive Intelligent Systems,2160-6455,6.4,1.076
ACM Transactions on Internet of Things,2691-1914,4.3,0.671
ACM Transactions on Internet Technology,1533-5399,5.1,0.805
ACM Transactions on Knowledge Discovery from Data,1556-4681,6.9,1.365
ACM Transactions on Management Information Systems,2158-656X,5.2,0.787
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,2,1.218
ACM Transactions on Modeling and Computer Simulation,1049-3301,1.4,0.341
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,1.7,0.273
ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,5.6,1.044
ACM Transactions on Parallel Computing,2329-4949,1.7,0.643
ACM Transactions on Privacy and Security,2471-2566,4,0.638
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,2.9,0.821
ACM Transactions on Quantum Computing,2643-6809,6.1,1.836
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,3,0.563
ACM Transactions on Sensor Networks,1550-4859,4.7,0.752
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,6.9,1.127
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2.9,0.432
ACM Transactions on Storage,1553-3077,3.6,0.839
ACM Transactions on the Web,1559-1131,4.9,0.869
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0001-494X,0,0.18
ACOUSTICAL PHYSICS,1063-7710,0.9,0.103
Acoustical Science and Technology,1346-3969,0.9,0.142
Acoustics,N/A,1.5,0.31
Acoustics Australia,0814-6039,1.3,0.37
Acque Sotterranee-Italian Journal of Groundwater,1828-454X,1.7,0.151
ACR Open Rheumatology,N/A,2.9,0.945
Across Languages and Cultures,1585-1923,0.9,0.699
ACS Agricultural Science & Technology,N/A,3.4,0.433
ACS Applied Bio Materials,2576-6422,5.6,0.678
ACS Applied Electronic Materials,N/A,4.7,0.755
ACS Applied Energy Materials,2574-0962,5.5,0.871
ACS Applied Engineering Materials,2771-9545,3.5,0.497
ACS Applied Materials & Interfaces,1944-8244,7.8,1.234
ACS Applied Nano Materials,N/A,5.8,0.764
ACS Applied Optical Materials,2771-9855,3.4,0.528
ACS Applied Polymer Materials,2637-6105,5.2,0.699
ACS Bio & Med Chem Au,N/A,3.5,1.069
ACS Biomaterials Science & Engineering,2373-9878,6,0.889
ACS Catalysis,2155-5435,13.6,2.594
ACS Central Science,2374-7943,11.1,3.528
ACS Chemical Biology,1554-8929,3.6,1.157
ACS Chemical Health & Safety,N/A,3.8,0.527
ACS Chemical Neuroscience,1948-7193,4.5,0.884
ACS Earth and Space Chemistry,2472-3452,2.6,0.781
ACS Energy Letters,2380-8195,17.5,4.322
ACS Engineering Au,N/A,9,1.334
ACS Environmental Au,N/A,9.6,1.883
ACS ES&T Engineering,N/A,6.3,1.225
ACS ES&T Water,N/A,4.5,0.847
ACS Food Science & Technology,N/A,3,0.406
ACS Infectious Diseases,2373-8227,4.5,0.91
ACS Macro Letters,N/A,4.9,0.996
ACS Materials Au,2694-2461,9.1,1.512
ACS Materials Letters,N/A,8.6,1.617
ACS Measurement Science Au,N/A,14.7,1.943
ACS Medicinal Chemistry Letters,1948-5875,3.9,0.847
ACS Nano,1936-0851,17.3,3.145
ACS Nanoscience Au,N/A,7.5,1.294
ACS Omega,2470-1343,5.2,0.699
ACS Organic & Inorganic Au,2694-247X,5.2,0.841
ACS Pharmacology & Translational Science,N/A,4,1.003
ACS Photonics,2330-4022,6,1.521
ACS Physical Chemistry Au,N/A,4.8,0.969
ACS Polymers Au,N/A,6.7,1.317
ACS Sensors,2379-3694,10.9,1.499
ACS Sustainable Chemistry & Engineering,2168-0485,7.6,1.174
ACS Synthetic Biology,2161-5063,4.5,1.21
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1.9,0.34
ACTA ACUSTICA,N/A,1.4,0.342
ACTA ADRIATICA,0001-5113,1.3,0.164
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1.5,0.216
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1.6,0.248
ACTA AGROBOTANICA,0065-0951,0.8,0.158
ACTA ALIMENTARIA,0139-3006,1.8,0.165
ACTA AMAZONICA,0044-5967,1.6,0.321
ACTA ANAESTHESIOLOGICA BELGICA,0001-5164,0.4,0.067
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1.9,0.555
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0353-5150,0.4,0.35
Acta Angiologica,1234-950X,0.4,0.057
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1.3,0.573
ACTA ARCHAEOLOGICA,0065-101X,0.6,0.269
ACTA ARITHMETICA,0065-1036,0.5,0.469
ACTA ASTRONAUTICA,0094-5765,3.7,0.671
ACTA ASTRONOMICA,0001-5237,1.4,0.684
Acta Balneologica,2082-1867,0.6,0.02
Acta Baltico-Slavica,0065-1044,0,0.078
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,4.5,0.82
ACTA BIOCHIMICA POLONICA,N/A,2.2,0.347
Acta Bioclinica,2244-8136,0.1,0.006
Acta Bioethica,0717-5906,0.2,0.089
ACTA BIOLOGICA COLOMBIANA,0120-548X,0.4,0.106
Acta Biomaterialia,1742-7061,10.4,1.71
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,0,0.012
ACTA BIOTHEORETICA,0001-5342,1.3,0.322
Acta Borealia,0800-3831,1,0.298
Acta Botanica Brasilica,0102-3306,1.3,0.285
ACTA BOTANICA CROATICA,0365-0588,1,0.174
Acta Botanica Mexicana,N/A,1.1,0.165
ACTA CARDIOLOGICA,0001-5385,4,0.409
Acta Cardiologica Sinica,1011-6842,1.9,0.339
ACTA CARSOLOGICA,0583-6050,0.6,0.195
Acta Chemica Iasi,2067-2438,0.4,0.041
ACTA CHIMICA SINICA,0567-7351,2.3,0.187
Acta Chimica Slovaca,1337-978X,1,0.101
ACTA CHIMICA SLOVENICA,1318-0207,1.2,0.148
ACTA CHIROPTEROLOGICA,1508-1109,1.5,0.373
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0001-5415,0.6,0.137
ACTA CHIRURGICA BELGICA,0001-5458,0.9,0.203
ACTA CHROMATOGRAPHICA,1233-2356,1.2,0.186
Acta Cirurgica Brasileira,0102-8650,1.6,0.215
Acta Classica,0065-1141,0,0.02
ACTA CLINICA BELGICA,1784-3286,1.4,0.326
Acta Clinica Croatica,0353-9466,0.5,0.257
Acta Colombiana de Psicologia,0123-9155,0.7,0.18
Acta Crystallographica A-Foundation and Advances,2053-2733,2.1,0.672
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,N/A,2.5,0.39
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,1.1,0.112
Acta Crystallographica Section D-Structural Biology,2059-7983,4.3,1.313
Acta Crystallographica Section E-Crystallographic Communications,2056-9890,0.5,0.067
Acta Crystallographica Section F-Structural Biology Communications,N/A,1.1,0.275
Acta Cybernetica,0324-721X,0.7,0.133
ACTA CYTOLOGICA,0001-5547,1.5,0.415
ACTA DERMATO-VENEREOLOGICA,0001-5555,3.8,1.201
Acta Dermatovenerologica Alpina Pannonica et Adriatica,1318-4458,1,0.221
Acta Dermatovenerologica Croatica,1330-027X,0.6,0.188
ACTA DIABETOLOGICA,0940-5429,3.1,0.798
Acta Ecologica Sinica,1872-2032,14.2,1.974
Acta Endocrinologica-Bucharest,1841-0987,0.8,0.21
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,0.8,0.225
Acta Epileptologica,2096-9384,2.6,0.47
Acta et Commentationes Universitatis Tartuensis de Mathematica,1406-2283,0.5,0.186
ACTA ETHOLOGICA,0873-9749,1.3,0.299
Acta Facultatis Medicae Naissensis,0351-6083,0.1,0.052
Acta Facultatis Xylologiae Zvolen,1336-3824,0.7,0.072
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1.2,0.304
Acta Geochimica,2096-0956,1.4,0.317
Acta Geodaetica et Geophysica,2213-5812,2.6,0.367
Acta Geodynamica et Geomaterialia,1214-9705,0.9,0.186
Acta Geographica Slovenica-Geografski Zbornik,1581-6613,1.6,0.24
ACTA GEOLOGICA POLONICA,0001-5709,0.9,0.251
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,2.1,0.416
Acta Geophysica,1895-6572,2.4,0.409
Acta Geotechnica,1861-1125,6.5,1.365
Acta Germanica-German studies in Africa,0065-1273,0.1,0.035
Acta Gymnica,2336-4912,0.9,0.23
ACTA HAEMATOLOGICA,0001-5792,2.8,0.566
ACTA HAEMATOLOGICA POLONICA,0001-5814,0.6,0
Acta Herpetologica,1827-9635,1,0.215
ACTA HISTOCHEMICA,0065-1281,2.9,0.454
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1.9,0.472
Acta Historica Tallinnensia,1406-2925,0.5,0.151
Acta Historica Universitatis Klaipedensis,1392-4095,0.1,0.138
Acta Histriae,1318-0185,0.4,0.162
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1.3,0.232
Acta IMEKO,0237-028X,0.9,0
Acta Infologica,N/A,0.6,0
ACTA INFORMATICA,0001-5903,1.2,0.261
Acta Informatica Pragensia,N/A,1.5,0
Acta Kinesiologica,1840-2976,2.4,0.189
Acta Koreana,1520-7412,0.2,0.204
Acta Linguistica Academica,2559-8201,0.3,0.212
Acta Literaria,0717-6848,0.1,0.104
Acta Logistica,N/A,1,0.093
ACTA MATERIALIA,1359-6454,10.7,2.182
ACTA MATHEMATICA,0001-5962,7.3,8.691
ACTA MATHEMATICA HUNGARICA,0236-5294,0.6,0.412
ACTA MATHEMATICA SCIENTIA,0252-9602,1,0.418
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,0.9,0.462
Acta Mathematica Universitatis Comenianae,0231-6986,0.6,0.13
Acta Mathematica Vietnamica,0251-4184,0.6,0.301
Acta Mathematicae Applicatae Sinica-English Series,0168-9673,0.9,0.324
ACTA MECHANICA,0001-5970,4,0.481
Acta Mechanica et Automatica,1898-4088,1.3,0.148
ACTA MECHANICA SINICA,0567-7718,4,0.771
ACTA MECHANICA SOLIDA SINICA,0894-9166,2.6,0.444
Acta Medica Indonesiana,0125-9326,0.6,0.171
Acta Medica Lituanica,1392-0138,0.6,0
ACTA MEDICA OKAYAMA,0386-300X,0.8,0.162
Acta Medica Portuguesa,0870-399X,1.2,0.223
Acta Medico-Historica Adriatica,1334-4366,0.1,0.03
ACTA METALLURGICA SINICA,0412-1961,2.2,0.338
Acta Metallurgica Sinica-English Letters,1006-7191,4.2,0.593
Acta Metallurgica Slovaca,1335-1532,1.7,0.133
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1.5,0.283
Acta Montanistica Slovaca,1335-1788,0.7,0.22
Acta Naturae,2075-8251,1.5,0.459
Acta Neophilologica,0567-784X,0.1,0.112
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1.9,0.301
ACTA NEUROCHIRURGICA,0001-6268,1.9,0.6
ACTA NEUROLOGICA BELGICA,0300-9009,2,0.572
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1.1,0.828
ACTA NEUROPATHOLOGICA,0001-6322,10.3,4.036
Acta Neuropathologica Communications,2051-5960,6.5,2.297
ACTA NEUROPSYCHIATRICA,0924-2708,2.4,0.687
Acta Neuropsychologica,1730-7503,1.2,0.122
ACTA NUMERICA,0962-4929,12.8,11.965
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,3.5,1.133
ACTA OCEANOLOGICA SINICA,0253-505X,1.4,0.363
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1.7,0.382
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1.8,0.402
ACTA OECONOMICA,0001-6373,0.4,0.091
Acta of Bioengineering and Biomechanics,1509-409X,1,0.207
ACTA ONCOLOGICA,0284-186X,2.7,0.829
ACTA OPHTHALMOLOGICA,1755-375X,3,0.876
ACTA OPTICA SINICA,0253-2239,1.7,0.1
Acta Orientalia Academiae Scientiarum Hungaricae,1588-2667,0.2,0.256
ACTA ORNITHOLOGICA,0001-6454,1.2,0.306
Acta Orthopaedica,1745-3674,3.4,0.988
Acta Orthopaedica Belgica,0001-6462,0.7,0.199
Acta Orthopaedica et Traumatologica Turcica,1017-995X,1.7,0.335
Acta Ortopedica Brasileira,1413-7852,0.6,0.207
ACTA OTO-LARYNGOLOGICA,0001-6489,1.3,0.32
Acta Oto-Laryngologica Case Reports,2377-2484,0.2,0.067
Acta Otorhinolaryngologica Italica,0392-100X,2.2,0.577
Acta Otorrinolaringologica Espanola,0001-6519,1.2,0.277
ACTA PAEDIATRICA,0803-5253,1.8,0.692
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1.8,0.574
ACTA PARASITOLOGICA,1230-2821,1.5,0.31
Acta Paulista de Enfermagem,0103-2100,0.9,0.249
Acta Pediatrica de Mexico,0186-2391,0.2,0.021
ACTA PETROLOGICA SINICA,1000-0569,2.5,0.521
ACTA PHARMACEUTICA,1330-0075,1.8,0.342
Acta Pharmaceutica Sinica B,2211-3835,14.6,2.981
ACTA PHARMACOLOGICA SINICA,1671-4083,10.4,2.081
Acta Philosophica,1121-2179,0.2,0.099
Acta Phlebologica,1593-232X,0.2,0.033
Acta Photonica Sinica,1004-4213,0.7,0.065
ACTA PHYSICA POLONICA A,0587-4246,0.5,0.088
ACTA PHYSICA POLONICA B,0587-4254,1,0.156
ACTA PHYSICA SINICA,1000-3290,1,0.131
ACTA PHYSICO-CHIMICA SINICA,1000-6818,13.5,1.082
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,2.3,0.337
Acta Physiologica,1748-1708,5.7,1.358
Acta Phytotaxonomica et Geobotanica,1346-7565,0.4,0.096
Acta Poetica,0185-3082,0.1,0.124
Acta Politica,0001-6810,1.9,0.966
ACTA POLONIAE HISTORICA,0001-6829,0.3,0.233
ACTA POLONIAE PHARMACEUTICA,0001-6837,0.6,0.08
ACTA POLYMERICA SINICA,N/A,1.2,0.143
Acta Polytechnica,N/A,0.7,0.097
Acta Polytechnica Hungarica,1785-8860,2.2,0.146
ACTA PROTOZOOLOGICA,0065-1583,0.8,0.251
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,0001-6896,0.1,0.005
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,4.7,2.071
ACTA PSYCHOLOGICA,0001-6918,3.8,0.782
Acta Psychologica Sinica,0439-755X,1.9,0.509
ACTA RADIOLOGICA,0284-1851,1.2,0.32
Acta Radiologica Open,N/A,0.9,0.293
Acta Scientiae Veterinariae,1678-0345,0.2,0.048
ACTA SCIENTIARUM MATHEMATICARUM,0001-6969,0.7,0.326
Acta Scientiarum Polonorum-Formatio Circumiectus,1644-0765,0.9,0.085
Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,1,0.121
Acta Scientiarum Polonorum-Technologia Alimentaria,1644-0730,0.7,0.152
ACTA SCIENTIARUM-AGRONOMY,1679-9275,1.2,0.174
ACTA SCIENTIARUM-HEALTH SCIENCES,1679-9291,0.4,0.056
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,0.6,0.101
Acta Silvae et Ligni,2335-3112,0.3,0.066
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,1.1,0.24
ACTA SOCIOLOGICA,0001-6993,2.1,0.827
Acta Stomatologica Croatica,0001-7019,1.8,0.291
Acta Structilia,1023-0564,1.2,0.133
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,1221-5872,0.1,0.016
Acta Technologica Agriculturae,N/A,1.4,0.114
Acta Theologica,1015-8758,0.2,0.166
ACTA TROPICA,0001-706X,2.6,0.553
Acta Turistica,0353-4316,0.4,0.099
Acta Universitatis Carolinae Theologica,1804-5588,0,0.056
Acta Universitatis Lodziensis Folia Litteraria Polonica,1505-9057,0.1,0
Acta Universitatis Lodziensis Folia Litteraria Romanica,1505-9065,0,0
Acta Universitatis Lodziensis-Folia Archaeologica,0208-6034,0,0
Acta Universitatis Lodziensis-Folia Iuridica,0208-6069,0.1,0
Acta Universitatis Sapientiae Informatica,1844-6086,0.7,0.094
Acta Universitatis Sapientiae-Film and Media Studies,2065-5924,0.2,0.194
Acta Universitatis Sapientiae-Mathematica,1844-6094,0.6,0.166
ACTA VETERINARIA BRNO,0001-7213,0.7,0.087
Acta Veterinaria Eurasia,2618-639X,0.6,0.095
ACTA VETERINARIA HUNGARICA,0236-6290,1,0.186
ACTA VETERINARIA SCANDINAVICA,0044-605X,2,0.412
ACTA VETERINARIA-BEOGRAD,0567-8315,0.9,0.13
ACTA VIROLOGICA,0001-723X,1.1,0.174
ACTA ZOOLOGICA,0001-7272,1.1,0.264
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837,0.9,0.193
ACTA ZOOLOGICA BULGARICA,0324-0770,0.5,0.091
Actas Dermo-Sifiliograficas,0001-7310,2.9,0.828
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,2.1,0.385
Actas Urologicas Espanolas,0210-4806,1.7,0.318
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,0.5,0.459
Action Learning,1476-7333,0,0.139
Action Research,1476-7503,1.8,0.647
Active and Passive Electronic Components,0882-7516,1.6,0.164
Active Learning in Higher Education,1469-7874,3.4,1.212
Activitas Nervosa Superior Rediviva,1337-933X,0.2,0.049
Activites-Revue Electronique,1765-2723,0.3,0.073
Activities Adaptation & Aging,0192-4788,1.6,0.411
Actualidad Contable Faces,1316-8533,0,0.014
Actualidad Juridica Ambiental,1989-5666,0.6,0.123
Actualidades en Psicologia,0258-6444,0.2,0.115
Actualidades Pedagogicas,0120-1700,0,0.028
Actualites Pharmaceutiques,0515-3700,0.1,0.01
Actualizaciones en Osteologia,1669-8975,0,0.01
Actuators,N/A,2.4,0.383
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,0.3,0.046
Acupuncture and Herbal Medicine,2097-0226,7.3,0.91
Acupuncture in Medicine,0964-5284,2.7,0.574
Acute and Critical Care,2586-6052,2.3,0.56
Acute Medicine & Surgery,2052-8817,1.4,0.368
Ad Hoc & Sensor Wireless Networks,1551-9899,0.4,0.067
Ad Hoc Networks,1570-8705,5.4,0.787
AD-minister,1692-0279,0.4,0.046
Adalya,1301-2746,0.3,0.237
ADANSONIA,1280-8571,0.8,0.171
Adaptation-The Journal of Literature on Screen Studies,1755-0637,0.2,0.274
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,2.6,0.525
ADAPTIVE BEHAVIOR,1059-7123,1.6,0.535
Adaptive Human Behavior and Physiology,2198-7335,1.6,0.555
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,1.2,0.223
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,2174-0992,0.4,0.165
Addicta-The Turkish Journal on Addictions,2148-7286,0.7,0.149
ADDICTION,0965-2140,5.9,2.207
ADDICTION BIOLOGY,1355-6215,2.6,0.882
Addiction Neuroscience,N/A,2.4,0.891
ADDICTION RESEARCH & THEORY,1606-6359,2.9,0.747
Addiction Science & Clinical Practice,N/A,2.6,1.033
ADDICTIVE BEHAVIORS,0306-4603,4.1,1.356
Addictive Behaviors Reports,N/A,3.3,0
Additive Manufacturing,2214-8604,11.3,2.141
Additive Manufacturing Letters,2772-3690,5.2,1.069
Adelaide Law Review,0065-1915,0.3,0.12
Adicciones,0214-4840,1.2,0.369
Adipocyte,2162-3945,3.3,0.822
ADMET and DMPK,1848-7718,5.1,0.654
Administracao Publica e Gestao Social,2175-5787,0.2,0.053
Administracao-Ensino e Pesquisa,2177-6083,0.2,0.041
Administration,0001-8325,0.3,0.085
ADMINISTRATION & SOCIETY,0095-3997,1.9,0.969
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,2.6,1.028
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,7.9,8.112
Administrative Sciences,N/A,3.9,0.529
Adolescent Psychiatry,2210-6766,0.3,0.202
Adolescent Research Review,2363-8346,8.3,2.752
Adolescents,N/A,1.7,0.338
Adoption and Fostering,0308-5759,1,0.278
Adoption Quarterly,1092-6755,1.1,0.214
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2.5,0.36
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,3.3,0.543
ADULT EDUCATION QUARTERLY,0741-7136,1.6,0.536
Adult Learning,1045-1595,2.3,0.356
Adultspan Journal,1524-6817,0.6,0.207
Advanced Agrochem,N/A,9.2,1.207
Advanced Biology,2701-0198,3.2,0.842
Advanced Biomedical Engineering,2187-5219,0.7,0.117
Advanced Biomedical Research,2277-9175,1.1,0.237
Advanced Biotechnology,N/A,8.8,1.587
ADVANCED COMPOSITE MATERIALS,0924-3046,2.7,0.335
Advanced Composites and Hybrid Materials,2522-0128,15.5,1.984
