Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
TRENDS PHARMACOL SCI	TRENDS IN PHARMACOLOGICAL SCIENCES	0165-6147	1873-3735	12.323	10.148	11.697	10.377	11.394	13.276	13.965	13.054	10.372	10.4	9.61	9.34	9.064	11.05	10.927	9.25	9.988	11.539	11.84	12.797	12.108	11.523	13.503	14.819	17.638	13.8	13.8
ANNU REV GENET	ANNUAL REVIEW OF GENETICS	0066-4197	1545-2948	12.294	13.63	10.065	13.45	14.31	12.58	11.92	11.304	13.959	19.098	18.302	12.78	13.235	21.774	22.233	17.436	18.115	15.724	12.235	8.745	9.589	9.184	11.146	16.83	13.826	11.1	11.1
ANNU REV GENET	ANNUAL REVIEW OF GENETICS	0066-4197	1545-2948	12.294	13.63	10.065	13.45	14.31	12.58	11.92	11.304	13.959	19.098	18.302	12.78	13.235	21.774	22.233	17.436	18.115	15.724	12.235	8.745	9.589	9.184	11.146	16.83	13.826	11.1	11.1
ANN INTERN MED	ANNALS OF INTERNAL MEDICINE	0003-4819	1539-3704	12.047	10.9	10.097	9.833	11.13	11.414	12.427	13.114	13.254	14.78	15.516	17.457	16.225	16.729	16.733	13.976	16.104	17.81	16.44	17.135	19.384	19.315	21.317	25.391	51.598	39.2	39.2
J CELL BIOL	JOURNAL OF CELL BIOLOGY	0021-9525	1540-8140	12.005	12.785	12.88	13.955	12.915	12.522	12.023	11.602	10.951	10.152	9.598	9.12	9.575	9.921	10.264	10.822	9.786	9.834	8.717	7.955	8.784	8.891	8.811	10.539	8.077	7.8	7.8
CRIT REV BIOCHEM MOL	CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	1040-9238	1549-7798	11.696	6.391	7.818	5.083	4.132	7.783	5.318	6.115	7.423	9.393	8.933	8.306	10.216	10.125	7.655	5.578	5.81	7.714	8.867	6.639	5.279	6.069	7.634	8.25	8.697	6.5	6.5
TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY	0962-8924	1879-3088	10.814	11.935	14.149	18.815	18.135	19.88	19.612	14.327	11.791	12.429	13.527	13.385	12.115	12.14	12.354	11.721	12.314	12.007	11.532	15.333	18.564	16.588	16.041	20.808	21.167	19.0	19.0
GASTROENTEROLOGY	GASTROENTEROLOGY	0016-5085	1528-0012	10.25	10.33	12.182	12.246	13.02	13.44	12.718	13.092	12.386	12.457	11.673	12.591	12.899	12.032	11.675	12.821	13.926	16.716	18.187	18.392	20.773	19.233	17.373	22.682	33.883	29.4	29.4
AM J HUM GENET	AMERICAN JOURNAL OF HUMAN GENETICS	0002-9297	1537-6605	10.244	10.869	10.426	10.351	10.542	10.649	11.602	12.34	12.649	12.629	11.092	10.153	12.303	11.68	10.603	11.202	10.987	10.931	10.794	9.025	8.855	9.924	10.502	11.025	11.043	9.8	9.8
HUM BRAIN MAPP	HUMAN BRAIN MAPPING	1065-9471	1097-0193	10.049	4.738	5.28	5.163	5.688	5.076	6.058	4.815	4.317	4.888	6.151	5.395	6.256	5.107	5.88	6.878	6.924	5.969	4.962	4.53	4.927	4.554	4.421	5.038	5.399	4.8	4.8
