Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
DIABETES	DIABETES	0012-1797	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.987	2.915	3.108	2.919	3.023	3.129	3.041	3.101	3.162	2.964	2.735	2.643	2.733	2.856	2.856
CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS	0893-8512	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	6.118	6.008	6.484	6.837	6.645	6.986	7.631	7.836	8.401	8.635	9.321	9.205	10.133	10.808	10.808
ANGEW CHEM INT EDIT	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	1433-7851	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.338	3.299	3.378	3.378	3.523	3.242	3.39	3.432	3.433	3.376	3.241	3.303	3.43	3.343	3.343
HUM MOL GENET	HUMAN MOLECULAR GENETICS	0964-6906	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.488	3.379	3.561	3.16	3.076	2.853	2.648	2.605	2.422	2.29	2.077	2.091	2.1	1.972	1.972
CIRC RES	CIRCULATION RESEARCH	0009-7330	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.228	3.903	3.764	3.889	3.806	3.835	3.795	4.188	4.377	4.842	4.629	5.027	6.254	6.852	6.852
CANCER RES	CANCER RESEARCH	0008-5472	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.826	2.924	3.035	3.1	3.074	3.212	3.126	3.176	3.206	3.021	2.992	3.113	3.614	3.432	3.432
ADV MICROB PHYSIOL	ADVANCES IN MICROBIAL PHYSIOLOGY	0065-2911	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	4.209	3.162	3.098	3.508	2.274	2.172	1.983	1.63	1.394	1.061	1.043	1.361	1.279	1.287	1.287
BEHAV BRAIN SCI	BEHAVIORAL AND BRAIN SCIENCES	0140-525X	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	8.533	9.32	11.401	10.76	10.969	10.342	10.686	11.205	9.859	8.862	8.915	7.997	8.972	10.876	10.876
ADV INORG CHEM	ADVANCES IN INORGANIC CHEMISTRY	0898-8838	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	2.071	1.303	1.331	0.798	0.79	0.917	0.893	0.937	0.766	0.708	0.547	0.626	0.607	0.524	0.524
ADV CANCER RES	ADVANCES IN CANCER RESEARCH	0065-230X	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	2.191	2.3	2.125	2.373	2.067	2.408	2.02	1.719	1.515	1.708	1.746	1.867	1.638	1.503	1.503
J NEUROSCI	JOURNAL OF NEUROSCIENCE	0270-6474	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.544	3.425	3.409	3.255	3.17	3.058	2.862	2.785	2.756	2.654	2.701	2.583	2.65	2.548	2.548
