JournalFullName,ISSN,2024IF,2024AI
ACM Transactions on Accessible Computing,1936-7228,3.5,0.583
ACM Transactions on Algorithms,1549-6325,1.4,0.956
ACM Transactions on Applied Perception,1544-3558,2.1,0.61
ACM Transactions on Architecture and Code Optimization,1544-3566,1.8,0.418
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2,0.327
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,2.1,0.318
ACM Transactions on Computation Theory,1942-3454,0.8,0.673
ACM Transactions on Computational Logic,1529-3785,0.9,0.426
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1.8,0.609
ACM Transactions on Computer-Human Interaction,1073-0516,6.6,1.046
ACM Transactions on Computing Education,1946-6226,3.8,0.722
ACM Transactions on Computing for Healthcare,2691-1957,8,1.725
ACM Transactions on Cyber-Physical Systems,2378-962X,2.9,0.614
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1.7,1.12
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,2,0.412
ACM Transactions on Economics and Computation,2167-8375,0.9,1.337
ACM Transactions on Embedded Computing Systems,1539-9087,2.6,0.539
ACM TRANSACTIONS ON GRAPHICS,0730-0301,9.5,2.602
ACM Transactions on Human-Robot Interaction,N/A,5.5,1.133
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,9.1,1.53
ACM Transactions on Intelligent Systems and Technology,2157-6904,6.6,2.071
ACM Transactions on Interactive Intelligent Systems,2160-6455,4.8,0.87
ACM Transactions on Internet of Things,2691-1914,3.7,0.603
ACM Transactions on Internet Technology,1533-5399,4.1,0.785
ACM Transactions on Knowledge Discovery from Data,1556-4681,4.8,1.259
ACM Transactions on Management Information Systems,2158-656X,3.6,0.71
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,3.2,1.494
ACM Transactions on Modeling and Computer Simulation,1049-3301,1.9,0.372
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,1.6,0.216
ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,6,1.1
ACM Transactions on Parallel Computing,2329-4949,1.2,0.65
ACM Transactions on Privacy and Security,2471-2566,2.8,0.636
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1.6,1.005
ACM Transactions on Quantum Computing,2643-6809,6.8,1.889
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,2.8,0.484
ACM Transactions on Sensor Networks,1550-4859,4.7,0.75
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,6.2,1.061
ACM Transactions on Spatial Algorithms and Systems,2374-0353,1.6,0.415
ACM Transactions on Storage,1553-3077,2.6,0.559
ACM Transactions on the Web,1559-1131,4.1,0.636
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0001-494X,0.1,0.258
ACOUSTICAL PHYSICS,1063-7710,1.2,0.102
Acoustical Science and Technology,1346-3969,0.6,0.148
Acoustics,N/A,1.2,0.37
Acoustics Australia,0814-6039,1.8,0.363
Acque Sotterranee-Italian Journal of Groundwater,1828-454X,0.7,0.113
ACR Open Rheumatology,N/A,2.8,1.001
Across Languages and Cultures,1585-1923,0.9,0.489
ACS Agricultural Science & Technology,N/A,2.9,0.405
ACS Applied Bio Materials,2576-6422,4.7,0.669
ACS Applied Electronic Materials,N/A,4.7,0.841
ACS Applied Energy Materials,2574-0962,5.5,1.019
ACS Applied Engineering Materials,2771-9545,3.5,0.524
ACS Applied Materials & Interfaces,1944-8244,8.2,1.432
ACS Applied Nano Materials,N/A,5.5,0.861
ACS Applied Optical Materials,2771-9855,3.8,0.604
ACS Applied Polymer Materials,2637-6105,4.7,0.763
ACS Bio & Med Chem Au,N/A,4.3,1.129
ACS Biomaterials Science & Engineering,2373-9878,5.5,0.891
ACS Catalysis,2155-5435,13.1,2.827
ACS Central Science,2374-7943,10.4,4.1
ACS Chemical Biology,1554-8929,3.8,1.337
ACS Chemical Health & Safety,N/A,3.4,0.481
ACS Chemical Neuroscience,1948-7193,3.9,0.91
ACS Earth and Space Chemistry,2472-3452,2.9,0.875
ACS Energy Letters,2380-8195,18.2,4.821
ACS Engineering Au,N/A,5.1,1.007
ACS Environmental Au,N/A,7.7,1.995
ACS ES&T Engineering,N/A,6.7,1.306
ACS ES&T Water,N/A,4.3,0.882
ACS Food Science & Technology,N/A,2.8,0.4
ACS Infectious Diseases,2373-8227,3.8,0.942
ACS Macro Letters,N/A,5.2,1.15
ACS Materials Au,2694-2461,6.5,1.22
ACS Materials Letters,N/A,8.7,1.973
ACS Measurement Science Au,N/A,9,1.567
ACS Medicinal Chemistry Letters,1948-5875,4,0.972
ACS Nano,1936-0851,16,3.306
ACS Nanoscience Au,N/A,6.3,1.362
ACS Omega,2470-1343,4.3,0.673
ACS Organic & Inorganic Au,2694-247X,4.4,0.883
ACS Pharmacology & Translational Science,N/A,3.7,1.164
ACS Photonics,2330-4022,6.7,1.66
ACS Physical Chemistry Au,N/A,4.3,0.977
ACS Polymers Au,N/A,6.9,1.483
ACS Sensors,2379-3694,9.1,1.539
ACS Sustainable Chemistry & Engineering,2168-0485,7.3,1.287
ACS Synthetic Biology,2161-5063,3.9,1.235
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1.8,0.314
ACTA ACUSTICA,N/A,1.4,0.427
ACTA ADRIATICA,0001-5113,0.6,0.18
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,0.9,0.163
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1.8,0.272
ACTA AGROBOTANICA,0065-0951,1.3,0.188
ACTA ALIMENTARIA,0139-3006,1,0.146
ACTA AMAZONICA,0044-5967,0.8,0.226
ACTA ANAESTHESIOLOGICA BELGICA,0001-5164,0.3,0.042
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,2,0.631
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0353-5150,0.2,0.263
Acta Angiologica,1234-950X,0.3,0.06
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1,0.588
ACTA ARCHAEOLOGICA,0065-101X,0.4,0.282
ACTA ARITHMETICA,0065-1036,0.4,0.485
ACTA ASTRONAUTICA,0094-5765,3.4,0.68
ACTA ASTRONOMICA,0001-5237,0.6,0.589
Acta Balneologica,2082-1867,0.2,0.013
Acta Baltico-Slavica,0065-1044,0.1,0.027
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,3.4,0.69
ACTA BIOCHIMICA POLONICA,N/A,1.7,0.36
Acta Bioethica,0717-5906,0.3,0.097
ACTA BIOLOGICA COLOMBIANA,0120-548X,0.4,0.115
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,0.4,0.104
Acta Biomaterialia,1742-7061,9.6,1.751
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,0.1,0.016
ACTA BIOTHEORETICA,0001-5342,1.5,0.397
Acta Borealia,0800-3831,0.6,0.321
Acta Botanica Brasilica,0102-3306,1.1,0.294
ACTA BOTANICA CROATICA,0365-0588,0.7,0.206
Acta Botanica Mexicana,N/A,0.8,0.205
Acta Brasiliensis,2526-432X,0.1,0.041
ACTA CARDIOLOGICA,0001-5385,2.5,0.424
Acta Cardiologica Sinica,1011-6842,1.8,0.369
ACTA CARSOLOGICA,0583-6050,1.1,0.219
Acta Chemica Iasi,2067-2438,0.3,0.097
ACTA CHIMICA SINICA,0567-7351,1.6,0.193
Acta Chimica Slovaca,1337-978X,0.7,0.07
ACTA CHIMICA SLOVENICA,1318-0207,1.3,0.155
ACTA CHIROPTEROLOGICA,1508-1109,0.7,0.232
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0001-5415,0.4,0.106
ACTA CHIRURGICA BELGICA,0001-5458,0.8,0.214
ACTA CHROMATOGRAPHICA,1233-2356,1.7,0.198
Acta Cirurgica Brasileira,0102-8650,1.3,0.203
Acta Classica,0065-1141,0,0.118
ACTA CLINICA BELGICA,1784-3286,0.9,0.349
Acta Clinica Croatica,0353-9466,0.8,0.244
Acta Colombiana de Psicologia,0123-9155,0.7,0.172
Acta Crystallographica A-Foundation and Advances,2053-2733,1.8,0.68
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,N/A,1.3,0.433
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,0.9,0.122
Acta Crystallographica Section D-Structural Biology,2059-7983,3.8,2.391
Acta Crystallographica Section E-Crystallographic Communications,2056-9890,0.6,0.071
Acta Crystallographica Section F-Structural Biology Communications,N/A,1.1,0.268
ACTA CYTOLOGICA,0001-5547,1.7,0.555
ACTA DERMATO-VENEREOLOGICA,0001-5555,3.7,1.252
Acta Dermatovenerologica Alpina Pannonica et Adriatica,1318-4458,1,0.278
Acta Dermatovenerologica Croatica,1330-027X,0.5,0.222
ACTA DIABETOLOGICA,0940-5429,2.9,0.878
Acta Ecologica Sinica,1872-2032,7.1,2.029
Acta Endocrinologica-Bucharest,1841-0987,0.7,0.231
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,0.8,0.196
Acta Epileptologica,2096-9384,1.2,0.297
Acta et Commentationes Universitatis Tartuensis de Mathematica,1406-2283,0.6,0.186
ACTA ETHOLOGICA,0873-9749,1.3,0.382
Acta Facultatis Medicae Naissensis,0351-6083,0.3,0.064
Acta Facultatis Xylologiae Zvolen,1336-3824,0.8,0.094
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1.2,0.37
Acta Geochimica,2096-0956,1.3,0.367
Acta Geodaetica et Geophysica,2213-5812,1.8,0.349
Acta Geodynamica et Geomaterialia,1214-9705,0.8,0.205
Acta Geographica Slovenica-Geografski Zbornik,1581-6613,0.9,0.149
ACTA GEOLOGICA POLONICA,0001-5709,0.9,0.223
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,3.7,0.861
Acta Geophysica,1895-6572,2.1,0.403
Acta Geotechnica,1861-1125,5.7,1.339
Acta Germanica-German studies in Africa,0065-1273,0,0.013
Acta Gymnica,2336-4912,0.7,0.208
ACTA HAEMATOLOGICA,0001-5792,1.1,0.567
Acta Herpetologica,1827-9635,0.9,0.238
ACTA HISTOCHEMICA,0065-1281,2.4,0.426
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1.8,0.46
Acta Historica Tallinnensia,1406-2925,0.5,0.119
Acta Historica Universitatis Klaipedensis,1392-4095,0.3,0
Acta Histriae,1318-0185,0.3,0.124
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1,0.266
Acta IMEKO,0237-028X,0.7,0
Acta Infologica,N/A,0.3,0
ACTA INFORMATICA,0001-5903,0.5,0.306
Acta Informatica Pragensia,N/A,1.1,0
Acta Kinesiologica,1840-2976,1.6,0.081
Acta Koreana,1520-7412,0.2,0.178
Acta Linguistica Academica,2559-8201,0.4,0.393
Acta Literaria,0717-6848,0,0.026
Acta Logistica,N/A,0.9,0
ACTA MATERIALIA,1359-6454,9.3,2.215
ACTA MATHEMATICA,0001-5962,6.7,8.117
ACTA MATHEMATICA HUNGARICA,0236-5294,0.6,0.415
ACTA MATHEMATICA SCIENTIA,0252-9602,1.1,0.402
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,0.9,0.482
Acta Mathematica Universitatis Comenianae,0231-6986,0.4,0.254
Acta Mathematica Vietnamica,0251-4184,0.3,0.381
Acta Mathematicae Applicatae Sinica-English Series,0168-9673,0.9,0.333
ACTA MECHANICA,0001-5970,2.9,0.442
Acta Mechanica et Automatica,1898-4088,1.1,0.121
ACTA MECHANICA SINICA,0567-7718,4.6,0.752
ACTA MECHANICA SOLIDA SINICA,0894-9166,2.7,0.489
Acta Medica Indonesiana,0125-9326,0.5,0.162
Acta Medica Lituanica,1392-0138,0.5,0
ACTA MEDICA OKAYAMA,0386-300X,0.6,0.186
Acta Medica Portuguesa,0870-399X,1,0.289
Acta Medico-Historica Adriatica,1334-4366,0.1,0.12
ACTA METALLURGICA SINICA,0412-1961,2.2,0.34
Acta Metallurgica Sinica-English Letters,1006-7191,3.9,0.578
Acta Metallurgica Slovaca,1335-1532,1,0.103
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1.6,0.337
ACTA MISSIOLOGICA,N/A,3.2,0.245
Acta Montanistica Slovaca,1335-1788,1.4,0.282
ACTA MUSICOLOGICA,0001-6241,0.5,0.232
Acta Naturae,2075-8251,2,0.501
Acta Neophilologica,0567-784X,0.1,0.133
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1.4,0.267
ACTA NEUROCHIRURGICA,0001-6268,1.9,0.651
ACTA NEUROLOGICA BELGICA,0300-9009,2.1,0.642
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,2.7,0.896
ACTA NEUROPATHOLOGICA,0001-6322,9.3,4.439
Acta Neuropathologica Communications,2051-5960,5.7,2.332
ACTA NEUROPSYCHIATRICA,0924-2708,2.5,0.799
Acta Neuropsychologica,1730-7503,1.1,0.102
ACTA NUMERICA,0962-4929,11.3,13.188
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,3.1,1.116
ACTA OCEANOLOGICA SINICA,0253-505X,1.4,0.362
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1.9,0.437
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1.5,0.446
ACTA OECONOMICA,0001-6373,0.7,0.143
Acta of Bioengineering and Biomechanics,1509-409X,0.8,0.198
ACTA ONCOLOGICA,0284-186X,2.2,0.926
ACTA OPHTHALMOLOGICA,1755-375X,2.8,0.862
ACTA OPTICA SINICA,0253-2239,1.6,0.087
Acta Orientalia Academiae Scientiarum Hungaricae,1588-2667,0.2,0.217
ACTA ORNITHOLOGICA,0001-6454,1.3,0.302
Acta Orthopaedica,1745-3674,2.4,1.074
Acta Orthopaedica Belgica,0001-6462,0.6,0.182
Acta Orthopaedica et Traumatologica Turcica,1017-995X,1,0.354
Acta Ortopedica Brasileira,1413-7852,0.6,0.191
ACTA OTO-LARYNGOLOGICA,0001-6489,1,0.344
Acta Oto-Laryngologica Case Reports,2377-2484,0.2,0.065
Acta Otorhinolaryngologica Italica,0392-100X,2.1,0.599
Acta Otorrinolaringologica Espanola,0001-6519,1.1,0.266
ACTA PAEDIATRICA,0803-5253,2.1,0.736
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1.9,0.576
ACTA PARASITOLOGICA,1230-2821,1.5,0.327
Acta Paulista de Enfermagem,0103-2100,1,0.208
Acta Pediatrica de Mexico,0186-2391,0.1,0.038
ACTA PETROLOGICA SINICA,1000-0569,1.9,0.473
ACTA PHARMACEUTICA,1330-0075,1.4,0.336
Acta Pharmaceutica Sinica B,2211-3835,14.6,2.813
ACTA PHARMACOLOGICA SINICA,1671-4083,8.4,1.772
Acta Philosophica,1121-2179,0.1,0.045
Acta Phlebologica,1593-232X,0.3,0.035
Acta Photonica Sinica,1004-4213,0.7,0.063
ACTA PHYSICA POLONICA A,0587-4246,0.5,0.099
ACTA PHYSICA POLONICA B,0587-4254,1.4,0.139
ACTA PHYSICA SINICA,1000-3290,0.8,0.125
ACTA PHYSICO-CHIMICA SINICA,1000-6818,13.5,1.051
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,2.2,0.389
Acta Physiologica,1748-1708,5.6,1.387
Acta Phytotaxonomica et Geobotanica,1346-7565,0.4,0.119
Acta Poetica,0185-3082,0.1,0.201
Acta Politica,0001-6810,1.9,0.817
ACTA POLONIAE HISTORICA,0001-6829,0,0.091
ACTA POLONIAE PHARMACEUTICA,0001-6837,0.4,0.068
ACTA POLYMERICA SINICA,N/A,1.3,0.156
Acta Polytechnica,N/A,0.5,0.092
Acta Polytechnica Hungarica,1785-8860,1.8,0.168
ACTA PROTOZOOLOGICA,0065-1583,1.2,0.156
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,0001-6896,0,0.006
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,5,2.197
ACTA PSYCHOLOGICA,0001-6918,2.7,0.689
Acta Psychologica Sinica,0439-755X,1.5,0.413
ACTA RADIOLOGICA,0284-1851,1.1,0.339
Acta Radiologica Open,N/A,1,0.334
Acta Scientiae Veterinariae,1678-0345,0.2,0.054
ACTA SCIENTIARUM MATHEMATICARUM,0001-6969,0.6,0.328
Acta Scientiarum Polonorum-Formatio Circumiectus,1644-0765,0.9,0.099
Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,0.7,0.093
Acta Scientiarum Polonorum-Technologia Alimentaria,1644-0730,0.8,0.172
ACTA SCIENTIARUM-AGRONOMY,1679-9275,1.2,0.211
ACTA SCIENTIARUM-HEALTH SCIENCES,1679-9291,0.2,0.071
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,0.6,0.09
Acta Silvae et Ligni,2335-3112,0.4,0.073
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,0.8,0.201
ACTA SOCIOLOGICA,0001-6993,1.4,0.769
Acta Stomatologica Croatica,0001-7019,1.8,0.333
Acta Structilia,1023-0564,0.6,0.12
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,1221-5872,0.2,0.019
Acta Technologica Agriculturae,1335-2555,0.8,0.086
Acta Theologica,1015-8758,0.1,0.162
ACTA TROPICA,0001-706X,2.5,0.596
Acta Turistica,0353-4316,0.4,0.065
Acta Universitatis Carolinae Theologica,1804-5588,0.2,0
Acta Universitatis Lodziensis Folia Litteraria Polonica,1505-9057,0.1,0
Acta Universitatis Lodziensis Folia Litteraria Romanica,1505-9065,0,0
Acta Universitatis Lodziensis-Folia Archaeologica,0208-6034,0.1,0
Acta Universitatis Sapientiae Informatica,1844-6086,0.3,0.069
Acta Universitatis Sapientiae-Film and Media Studies,2065-5924,0.2,0.062
Acta Universitatis Sapientiae-Mathematica,1844-6094,0.6,0.165
ACTA VETERINARIA BRNO,0001-7213,0.7,0.106
Acta Veterinaria Eurasia,2618-639X,0.4,0.072
ACTA VETERINARIA HUNGARICA,0236-6290,0.8,0.181
ACTA VETERINARIA SCANDINAVICA,0044-605X,1.7,0.377
ACTA VETERINARIA-BEOGRAD,0567-8315,0.8,0.129
ACTA VIROLOGICA,0001-723X,0.8,0.181
ACTA ZOOLOGICA,0001-7272,1.3,0.288
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837,0.8,0.205
ACTA ZOOLOGICA BULGARICA,0324-0770,0.5,0.096
Actas Dermo-Sifiliograficas,0001-7310,2.8,0.696
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1.6,0.34
Actas Urologicas Espanolas,0210-4806,1.2,0.254
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,0.2,0.139
Action Learning,1476-7333,1.5,0.08
Action Research,1476-7503,2.1,0.79
Active and Passive Electronic Components,0882-7516,0.8,0.145
Active Learning in Higher Education,1469-7874,3.2,1.107
Activitas Nervosa Superior Rediviva,1337-933X,0.2,0.054
Activites-Revue Electronique,1765-2723,0.6,0.124
Activities Adaptation & Aging,0192-4788,2.6,0.296
Actualidad Contable Faces,1316-8533,0.1,0.024
Actualidades en Psicologia,0258-6444,0.4,0.13
Actualidades Pedagogicas,0120-1700,0.2,0.03
Actualites Pharmaceutiques,0515-3700,0.1,0.009
Actualizaciones en Osteologia,1669-8975,0.1,0.021
Actuators,N/A,2.3,0.403
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,0.4,0.061
Acupuncture and Herbal Medicine,2097-0226,4.3,0.723
Acupuncture in Medicine,0964-5284,2.6,0.58
Acute and Critical Care,2586-6052,2,0.565
Acute Medicine & Surgery,2052-8817,1.3,0.454
Ad Hoc & Sensor Wireless Networks,1551-9899,0.6,0.06
Ad Hoc Networks,1570-8705,4.8,0.752
AD-minister,1692-0279,0.3,0.057
Adalya,1301-2746,0.2,0.091
ADANSONIA,1280-8571,0.6,0.159
Adaptation-The Journal of Literature on Screen Studies,1755-0637,0.4,0.536
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1.6,0.518
ADAPTIVE BEHAVIOR,1059-7123,1.3,0.531
Adaptive Human Behavior and Physiology,2198-7335,1.5,0.516
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,1.6,0.185
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,2174-0992,0.7,0.171
Addicta-The Turkish Journal on Addictions,2148-7286,0.4,0.195
ADDICTION,0965-2140,5.3,2.165
ADDICTION BIOLOGY,1355-6215,2.6,0.941
Addiction Neuroscience,N/A,2.2,0.748
ADDICTION RESEARCH & THEORY,1606-6359,2,0.759
Addiction Science & Clinical Practice,1940-0640,3.2,1.218
ADDICTIVE BEHAVIORS,0306-4603,3.6,1.263
Addictive Behaviors Reports,N/A,2.8,0
Additive Manufacturing,2214-8604,11.1,2.207
Additive Manufacturing Letters,2772-3690,4.7,0.922
Adelaide Law Review,0065-1915,0.3,0.139
Adeptus,2300-0783,0,0.022
Adicciones,0214-4840,1.8,0.482
Adipocyte,2162-3945,3.1,0.751
ADMET and DMPK,1848-7718,4.3,0.552
Administracao Publica e Gestao Social,2175-5787,0.1,0.034
Administracao-Ensino e Pesquisa,2177-6083,0.1,0.082
Administration,0001-8325,0.2,0.094
ADMINISTRATION & SOCIETY,0095-3997,2.3,1.092
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,2.7,0.961
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,6.5,9.124
Administrative Sciences,N/A,3.1,0.486
Adolescent Health Medicine and Therapeutics,1179-318X,3.3,0.894
Adolescent Psychiatry,2210-6766,0.7,0.179
Adolescent Research Review,2363-8346,8.1,2.124
Adolescents,N/A,0.8,0.269
Adoption and Fostering,0308-5759,0.9,0.278
Adoption Quarterly,1092-6755,0.6,0.238
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,3.2,0.417
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,3.1,0.523
ADULT EDUCATION QUARTERLY,0741-7136,1.5,0.521
Adult Learning,1045-1595,1.3,0.349
Advanced Biology,2701-0198,2.6,0.868
Advanced Biomedical Engineering,2187-5219,0.8,0.136
Advanced Biomedical Research,2277-9175,1,0.269
ADVANCED COMPOSITE MATERIALS,0924-3046,2.3,0.354
Advanced Composites and Hybrid Materials,2522-0128,21.8,2.407
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,17.6,3.592
